Planning Authority ,Site Code,Site Name,Address,East,North,Site Type,Location of Site,Datazone,lon,lat
East Ayrshire,6114,FORMER OPENCAST COAL SITE,CHALMERSTON NORTH DALMELLINGTON,249508,612126,Derelict,Site in countryside,S01007881,-4.37681244535566,55.379966079266474
East Ayrshire,6115,FORMER OPENCAST COAL SITE,CHALMERSTON DALMELLINGTON,247270,608964,Derelict,Site in countryside,S01007870,-4.410373793971061,55.3508872762739
East Ayrshire,6116,FORMER OPENCAST COAL SITE,BENBAIN REMAINDER DALMELLINGTON,250495,607902,Derelict,Site in countryside,S01007870,-4.358991396290609,55.34234477359081
East Ayrshire,6117,FORMER OPENCAST COAL SITE,BENBAIN REMAINDER NORTH DALMELLINGTON,249794,609843,Derelict,Site in countryside,S01007870,-4.371076099457351,55.359557162443146
East Ayrshire,6118,FORMER OPENCAST COAL SITE,CHALMERSTON BACKFILL DALMELLINGTON,248296,609117,Derelict,Site in countryside,S01007870,-4.394290728019982,55.35257880870722
East Ayrshire,6119,FORMER OPENCAST COAL SITE,CHALMERSTON OVERBURDEN DALMELLINGTON,247883,608761,Derelict,Site in countryside,S01007870,-4.400604877753818,55.34925500530249
East Ayrshire,6128,,BROWN STREET A NEWMILNS,253094,637023,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007946,-4.333450832340164,55.604578298696396
East Ayrshire,6129,,BROWN STREET B NEWMILNS,253266,637157,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007946,-4.330794531133422,55.60583322384526
East Ayrshire,6132,FORMER ST JOHN'S PRIMARY SCHOOL,BARSHARE RD CUMNOCK,257867,619735,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007914,-4.248876523883059,55.450777079371896
East Ayrshire,6133,FORMER J.H. YATES & SONS DEPOT,CRAIGENS RD CUMNOCK,257776,618596,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007911,-4.2497318679719935,55.44052406153483
East Ayrshire,6134,FORMER GREENBANK MILL,EAST MAIN STREET DARVEL,257112,637609,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007943,-4.270032655415184,55.61103603807257
East Ayrshire,6135,FORMER BURLINGTON BERTIE'S,BRAEFOOT KILMARNOCK,242966,637869,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007979,-4.494533110572696,55.60900981562736
East Ayrshire,6137,FORMER HIGHHOUSE COAL PIT,BARONY ROAD AUCHINLECK,254791,621769,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007923,-4.298531568765465,55.468135778859114
East Ayrshire,6138,WOODEND COTTAGE,87 MAIN ROAD CROOKEDHOLM KILMARNOCK,244781,637344,Derelict,"Site in settlement with population equal to or over 2,000",S01007959,-4.4654535564640545,55.60487934287956
East Ayrshire,6139,FORMER GARAGE SITE,STRUTHERS AVENUE CROOKEDHOLM KILMARNOCK,244699,637657,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007960,-4.466930311568953,55.60766295672606
East Ayrshire,6140,FORMER ST BARBARA'S CHURCH,TOWNHEAD DALMELLINGTON,248136,605813,Vacant Land,"Site in settlement with population under 2,000",S01007873,-4.395020639851334,55.32286674631409
East Ayrshire,6144,FORMER MINER'S ROWS,HIGH HOUSE / MAIN STREET AUCHINLECK,255104,621772,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01007923,-4.293586413705817,55.468255547322514
East Ayrshire,6152,FORMER FIREPLACE FACTORY,KILMARNOCK ROAD KILMAURS,241222,640948,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008030,-4.523966366787881,55.636082512169466
East Ayrshire,6153,FORMER RESIDENTIAL DEVELOPMENT,STONER CRESCENT AUCHINLECK,255188,622498,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007924,-4.292637340947735,55.474798641940346
East Ayrshire,6154,FORMER RESIDENTIAL DEVELOPMENT,RANOLDCOUP ROAD DARVEL,256415,637348,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007943,-4.280952240023191,55.60848752039576
East Ayrshire,6155,FORMER RESIDENTIAL DEVELOPMENT,HENDERSON DRIVE SMALLBURN MUIRKIRK,268811,626940,Vacant Land,"Site in settlement with population under 2,000",S01007902,-4.079375265934988,55.518531066709535
East Ayrshire,6157,FORMER CRAIGMARK MINE,BURNTON,247615,607089,Derelict,Site in countryside,S01007870,-4.40391759980571,55.334161182560486
East Ayrshire,6159,FORMER RESIDENTIAL DEVELOPMENT,MAXHOLM ROAD RICCARTON KILMARNOCK,242373,636211,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007974,-4.502988679341744,55.593934729392224
East Ayrshire,6160,FORMER PUB SITE,LITTLEMILL ROAD DRONGAN,244624,618565,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007891,-4.457407312583796,55.43624871638475
East Ayrshire,6161,FORMER HOUSES,BACK ROGERTON AUCHINLECK,255375,622198,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007922,-4.28952522813975,55.47216050932642
East Ayrshire,6162,FORMER OLD MILL INN,MILL STREET CATRINE,252684,625965,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007886,-4.334057656717553,55.50517725774272
East Ayrshire,6163,FORMER HOUSES,62 MAIN ROAD CROOKEDHOLM,245004,637338,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007959,-4.461914021641016,55.604896561438494
East Ayrshire,6164,FORMER MILL,GREEN STREET DARVEL,256455,637671,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01007941,-4.280486184011323,55.61139925956706
East Ayrshire,6165,CORNER SITE,DONNINGTON STREET DARVEL,256378,637607,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007942,-4.2816741696894836,55.61080193257624
East Ayrshire,6166,FORMER FLATS,MUIR DRIVE DARVEL,255408,637291,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007944,-4.296893943781246,55.607677535491334
East Ayrshire,6168,LAND AT STATION ROAD,STATION ROAD GALSTON,250219,636422,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007950,-4.37871632679372,55.598306362688916
East Ayrshire,6169,GAP SITE,HIGH GLENCAIRN STREET KILMARNOCK,242746,637089,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007975,-4.497576712109119,55.60193692512834
East Ayrshire,6170,NORTH OF THE A70,NORTH OF A70 LUGAR,259628,621608,Vacant Land,"Site in settlement with population under 2,000",S01007901,-4.222002047686819,55.46810251818056
East Ayrshire,6172,LAND AT FORMER COUNCIL DEPOT,PEASWEEP BRAE LUGAR,259041,621497,Vacant Land,"Site in settlement with population under 2,000",S01007901,-4.231223212794384,55.4669370492864
East Ayrshire,6173,GAP SITE,CARRUTHERS AVENUE MUIRKIRK,269935,627619,Derelict,"Site in settlement with population under 2,000",S01007903,-4.061904894526807,55.524929004040615
East Ayrshire,6174,FORMER DEPOT,FURNACE ROAD MUIRKIRK,269618,627097,Vacant Land,"Site in settlement with population under 2,000",S01007903,-4.066676975543488,55.52015709314436
East Ayrshire,6175,FORMER HOUSING,DALHANNA DRIVE NEW CUMNOCK,262014,613158,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007907,-4.180103374150454,55.392909083036564
East Ayrshire,6176,FORMER CROWN HOTEL,A76 NEW CUMNOCK,261718,613471,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007908,-4.184927963218308,55.39563614439375
East Ayrshire,6177,FORMER MILL SITE,AYR ROAD PATNA,241604,610761,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007877,-4.500660627051459,55.365224825541745
East Ayrshire,6178,FORMER COUNCIL OFFICES,GREENHOLM ST KILMARNOCK,242665,636643,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007975,-4.498606375285407,55.597907131290654
East Ayrshire,6180,FORMER FREIGHT RAIL TERMINAL,LITTLE BELLSLAND RD KILMARNOCK,242985,636556,Derelict,"Site in settlement with population equal to or over 2,000",S01007975,-4.493483524610504,55.59722948363797
East Ayrshire,6181,FORMER KIRKLANDSIDE HOSPITAL,A76 KILMARNOCK,244217,636267,Derelict,Site in countryside,S01007961,-4.47378811155367,55.59503101313686
East Ayrshire,6182,ABANDONED NEW BUILD CONSTRUCTION AT WOOLMILL PLACE,WOOLMILL PLACE SORN,255913,626342,Derelict,"Site in settlement with population equal to or over 2,000",S01007904,-4.283173831895541,55.509525383294175
East Ayrshire,6183,ABANDONED NEW BUILD CONSTRUCTION AT LAMLASH GARDEN,LAMLASH GARDENS KILMARNOCK,243153,639659,Derelict,"Site in settlement with population under 2,000",S01007997,-4.4925874866091435,55.625138489207124
East Ayrshire,67,N,HIGH ST. NEWMILNS,253633,637514,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007945,-4.325163935125564,55.60914885368454
East Ayrshire,81,N,GALSTON ROAD HURLFORD KILMARNOCK,245826,636840,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007961,-4.44860059683672,55.60068711959133
East Dunbartonshire,2.BR1,GARSCADDEN DEPOT,LANGFAULDS BEARSDEN,251839,672833,Derelict,Site in countryside,S01008033,-4.372809214098614,55.92567759348691
East Dunbartonshire,3.BE2,CROWHILL ROAD,BISHOPBRIGGS INDUSTRIAL ESTATE BISHOPBRIGGS,260961,669485,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008102,-4.225221616847104,55.898343856134275
East Dunbartonshire,3.BR1,BARRAGE BALLOON SITE,CROSSHILL ROAD BISHOPBRIGGS,262984,672388,Derelict,Site in countryside,S01008118,-4.194366971380497,55.92498783222648
East Dunbartonshire,3.BR3,CROFTHEAD QUARRY,KIRKINTILLOCH ROAD BISHOPBRIGGS,261910,672262,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008086,-4.211476371587653,55.92354931685611
East Dunbartonshire,3.BR5,FORMER SAND QUARRY,MEADOWBURN BISHOPBRIGGS,261285,671861,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008089,-4.221264003892024,55.91976921609775
East Dunbartonshire,3.BR6,EX OIL TERMINAL,WESTERHILL ROAD BISHOPBRIGGS,262505,671097,Derelict,"Site in settlement with population equal to or over 2,000",S01008118,-4.20136915360442,55.91326028299044
East Dunbartonshire,3.BR7,WESTERHILL ROAD SOUTH,WESTERHILL ROAD SOUTH BISHOPBRIGGS,262461,671253,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008118,-4.20215195840722,55.91464829644133
East Dunbartonshire,4.BR4,KIRKINTILLOCH REGENERATION AREA,LOCH ROAD KIRKINTILLOCH,266028,672923,Derelict,"Site in settlement with population equal to or over 2,000",S01008127,-4.145955517461495,55.93064921554765
East Dunbartonshire,4.BR5,MILTON ROAD EAST,MILTON ROAD KIRKINTILLOCH,265539,674425,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008135,-4.154525103728302,55.94399824886984
East Dunbartonshire,4.BR6,MILTON ROAD WEST,MILTON ROAD KIRKINTILLOCH,265453,674448,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008135,-4.155912491616855,55.944180674497005
East Dunbartonshire,4.BR7,WORKS AREA,SOUTHBANK ROAD KIRKINTILLOCH,264955,673125,Derelict,"Site in settlement with population equal to or over 2,000",S01008131,-4.163217534248788,55.93216257974281
East Dunbartonshire,4.BR9,WATERSIDE BING,EAST OF PIT ROAD DEPOT WATERSIDE,268569,673047,Derelict,Site in countryside,S01008144,-4.105375402175447,55.93246411565511
East Dunbartonshire,5.BR1,LENNOX CASTLE,LENNOX CASTLE LENNOXTOWN,260590,678308,Derelict,Site in countryside,S01008162,-4.235710256819252,55.977448867291145
East Dunbartonshire,5.BR3,WELL LANE,REAR OF PROPERTIES ON MAIN STREET LENNOXTOWN,262852,677635,Derelict,"Site in settlement with population equal to or over 2,000",S01008159,-4.199147577345319,55.97205848238373
East Dunbartonshire,6.BR1,FORMER JAMES WATT BUILDING,CLOBERFIELD INDUSTRIAL ESTATE MILNGAVIE,254919,675397,Derelict,"Site in settlement with population equal to or over 2,000",S01008040,-4.324940722758424,55.949634840635746
East Dunbartonshire,6.BR2,DRUMCLOG AVENUE,DRUMCLOG AVENUE MILNGAVIE,255442,675633,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008043,-4.3166995657549,55.95191118148094
East Dunbartonshire,6.BR4,CLOBERFIELD ROAD,CLOBERFIELD INDUSTRIAL ESTATE MILNGAVIE,271058,674972,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008146,-4.066484257647327,55.95042275071984
East Dunbartonshire,8.BR1,CANAL SIDE SITE,MAIN STREET TWECHAR,268569,673047,Derelict,"Site in settlement with population under 2,000",S01008144,-4.105375402175447,55.93246411565511
East Dunbartonshire,8520025,ST FLANNANS,HILLHEAD KIRKINTILLOCH,268860,674884,Derelict,Site in countryside,S01008146,-4.101614311049638,55.9490375097469
East Dunbartonshire,8520026,SOUTHFIELD,SOUTH BRAE LENNOXTOWN,262563,677462,Derelict,Site in countryside,S01008161,-4.203686134341289,55.97042260304485
East Dunbartonshire,NE84,FORMER DRYFIELD SEWAGE WORKS,KIRKINTILLOCH ROAD KIRKINTILLOCH,263676,673715,Derelict,Site in countryside,S01008118,-4.18397176121932,55.93709868371261
East Lothian,ELC10,GASWORKS SITE,BALCARRES ROAD MUSSELBURGH EAST LOTHIAN,334796,673323,Derelict,"Site in settlement with population equal to or over 2,000",S01008187,-3.0456542051776943,55.94849936569778
East Lothian,ELC102,TRANENT INFANT SCHOOL,SANDERSON'S WYND TRANENT EAST LOTHIAN,340565,672989,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01008219,-2.9532195631907525,55.94624817950106
East Lothian,ELC104,FORMER COCKENZIE POWER STATION COAL STORE,LAND WEST OF B6371 COCKENZIE EAST LOTHIAN,340095,674912,Derelict,Site in countryside,S01008218,-2.9611718563226392,55.96346495869646
East Lothian,ELC105,FORMER EDENHALL HOSPITAL,EDENHALL ROAD MUSSELBURGH EAST LOTHIAN,335338,671957,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01008190,-3.0366491222859233,55.93630153629575
East Lothian,ELC106,FORMER COCKENZIE POWER STATION,EDINBURGH ROAD COCKENZIE EAST LOTHIAN,339466,675441,Derelict,"Site in settlement with population equal to or over 2,000",S01008218,-2.9713650156092712,55.96813820295786
East Lothian,ELC108,EAST FORTUNE STEADING,LAND SOUTH OF B1377 EAST FORTUNE EAST LOTHIAN,354929,679194,Derelict,Site in countryside,S01008262,-2.7242956518599573,56.003558633141644
East Lothian,ELC11,FORMER WALLYFORD PRIMARY SCHOOL,ALBERT PLACE WALLYFORD EAST LOTHIAN,336887,672174,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008169,-3.0119088314777103,55.938457074746815
East Lothian,ELC111,FA'SIDE LODGE,22A CHURCH STREET TRANENT EAST LOTHIAN,340439,672912,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008219,-2.9552196632721324,55.94554082508415
East Lothian,ELC115,TYNINGHAME LINKS STEADING,LIMETREE WALK TYNINGHAME EAST LOTHIAN,362534,680911,Derelict,Site in countryside,S01008277,-2.6025975147806135,56.01964052616648
East Lothian,ELC116,DIRLETON NEW MAINS,EH39 5EN DIRLETON EAST LOTHIAN,351570,684677,Derelict,Site in countryside,S01008267,-2.7791438443915633,56.05248867721574
East Lothian,ELC117,HARLOW HILL HOUSE,HARLAW HILL ROAD PRESTONPANS EAST LOTHIAN,338949,674608,Derelict,"Site in settlement with population equal to or over 2,000",S01008203,-2.9794571922276054,55.960589462906945
East Lothian,ELC118,PINKIEHILL FARM,CARBERRY ROAD INVERESK EAST LOTHIAN,334968,671715,Derelict,"Site in settlement with population under 2,000",S01008176,-3.042512375451313,55.93407760252369
East Lothian,ELC119,PAPPLE STEADING,PAPPLE STEADINGF MORHAM GIFFORD EAST LOTHIAN,359085,672494,Derelict,Site in countryside,S01008280,-2.6566382784818825,55.94373848182064
East Lothian,ELC12,31-33,SALTERS ROAD WALLYFORD EAST LOTHIAN,336842,672209,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01008168,-3.0126372842338864,55.93876557353522
East Lothian,ELC120,PHANTASSIE STEADING,DUNBAR ROAD EAST LINTON EAST LOTHIAN,359600,677188,Derelict,Site in countryside,S01008280,-2.649099374536605,55.98595376628268
East Lothian,ELC121,FORMER HADDINGTON NURSERY SCHOOL,MEADOWPARK HADDINGTON EAST LOTHIAN,351097,673646,Derelict,"Site in settlement with population equal to or over 2,000",S01008258,-2.784725625973964,55.95333989281432
East Lothian,ELC122A,FORMER HERDMANFLAT HOSPITAL,ABERLADY ROAD HADDINGTON EAST LOTHIAN,351013,674361,Derelict,"Site in settlement with population equal to or over 2,000",S01008253,-2.7862009149657783,55.959754802471146
East Lothian,ELC123,FORMER COUNCIL DEPOT,LIME GROVE NORTH BERWICK EAST LOTHIAN,356733,685050,Derelict,"Site in settlement with population equal to or over 2,000",S01008275,-2.6963175844747282,56.056335297632366
East Lothian,ELC25,MEADOWMILL NURSERY,MEADOWMILL PRESTONPANS EAST LOTHIAN,340469,674190,Derelict,Site in countryside,S01008218,-2.9550220602062782,55.957025460425434
East Lothian,ELC27,MACMERRY AIRFIELD,PENSTON TRANENT EAST LOTHIAN,344534,672452,Derelict,Site in countryside,S01008239,-2.889568246057763,55.94189921625725
East Lothian,ELC33,TYNEMOUNT BING,TYNEMOUNT ORMISTON EAST LOTHIAN,339994,668606,Derelict,Site in countryside,S01008237,-2.961385097696301,55.906802352111775
East Lothian,ELC35,PEASTON FARM COTTAGES & SMITHY,WEST PEASTON ORMISTON EAST LOTHIAN,342800,665250,Derelict,Site in countryside,S01008237,-2.9157984842416926,55.876995329693045
East Lothian,ELC37,HARELAW LIMEKILN,MID ROAD LONGNIDDRY EAST LOTHIAN,344958,676356,Derelict,Site in countryside,S01008242,-2.8835799482673896,55.97702028258081
East Lothian,ELC44,OLD SCHOOLHOUSE & OUTBUILDINGS,ABBEYMILL FARM HADDINGTON EAST LOTHIAN,353328,674680,Derelict,Site in countryside,S01008250,-2.7491806377870915,55.96285168481968
East Lothian,ELC47,AMISFIELD STABLES,AMISFIELD PARK HADDINGTON EAST LOTHIAN,352927,674227,Derelict,Site in countryside,S01008250,-2.7555240143283566,55.95874273566578
East Lothian,ELC55,INDUSTRIAL SITE,WHITTINGEHAME DRIVE HADDINGTON EAST LOTHIAN,351986,673998,Derelict,"Site in settlement with population equal to or over 2,000",S01008260,-2.7705531823420464,55.95659208507771
East Lothian,ELC61,GIN HEAD RADAR STATION,TANTALLON NORTH BERWICK EAST LOTHIAN,359316,685232,Derelict,Site in countryside,S01008277,-2.6548733575825967,56.058197476497085
East Lothian,ELC62,SITE AT,EAST FORTUNE HOSPITAL EAST FORTUNE EAST LOTHIAN,355262,679352,Derelict,Site in countryside,S01008262,-2.7189828165351284,56.0050093509278
East Lothian,ELC79,WEST SITE,EAST BARNS DUNBAR AREA EAST LOTHIAN,371501,676376,Derelict,Site in countryside,S01008283,-2.458275095733304,55.9795153908548
East Lothian,ELC80,EAST SITE,EAST BARNS DUNBAR AREA EAST LOTHIAN,371693,676254,Derelict,Site in countryside,S01008283,-2.4551855205274253,55.97843069521663
East Lothian,ELC87,TEMPLEDEAN HALL NURSING HOME,TEMPLEDEAN PARK HADDINGTON EAST LOTHIAN,351382,674435,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01008254,-2.780304647868487,55.960457178169015
East Lothian,IELC48,SITE AT BERMALINE MILLS,WHITTINGHAME DRIVE HADDINGTON EAST LOTHIAN,351847,674148,Derelict,"Site in settlement with population equal to or over 2,000",S01008260,-2.7728059902639237,55.95792573172566
East Renfrewshire,8430035,BROOMPARK,BROOMPARK DRIVE NEWTON MEARNS,254947,656373,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008345,-4.314309823700129,55.77885516431653
East Renfrewshire,8430068,ROBSLEE EAST,ROBSLEE DRIVE GIFFNOCK,255715,659641,Derelict,"Site in settlement with population equal to or over 2,000",S01008409,-4.303808135247968,55.80842416878533
East Renfrewshire,8430080,SEWERAGE WORKS,ROBSLEE DRIVE GIFFNOCK,255506,659657,Derelict,"Site in settlement with population equal to or over 2,000",S01008409,-4.30714844405399,55.808505319705944
East Renfrewshire,8430099,BURNFIELD ROAD W,BURNFIELD ROAD GIFFNOCK,255630,659801,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008409,-4.30524812115506,55.80983519312518
East Renfrewshire,8510453,FMR SEWERAGE WKS,GLASGOW ROAD BARRHEAD,251175,660061,Derelict,"Site in settlement with population equal to or over 2,000",S01008317,-4.376410142572808,55.810816824353815
East Renfrewshire,8511594,ARMITAGE SHANKS,SHANKS IND EST BARRHEAD,250320,659980,Derelict,"Site in settlement with population equal to or over 2,000",S01008307,-4.389995722293368,55.809825405541964
East Renfrewshire,8511603,FORMER DEPOT,THE HURLET BARRHEAD,251608,660829,Derelict,Site in countryside,S01008317,-4.369926505823141,55.81784461904209
East Renfrewshire,8511604,FORMER DEPOT,GLEN STREET BARRHEAD,250101,659150,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008309,-4.393029447436309,55.80230646620182
East Renfrewshire,8511613,TRACEY'S YARD,CARLIBAR ROAD BARRHEAD,250143,659556,Derelict,"Site in settlement with population equal to or over 2,000",S01008313,-4.392583698841943,55.8059642112947
East Renfrewshire,8511615,RUBBER PLANT,EVANTON PLACE THORNLIEBANK,254519,659190,Derelict,"Site in settlement with population equal to or over 2,000",S01008416,-4.322632959699774,55.804016455974164
East Renfrewshire,8511633,FMR JOINERY,MAIN STREET BUSBY,257920,656647,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008367,-4.26709299069804,55.78219804304251
East Renfrewshire,8511634,YARD,FIELD ROAD BUSBY,257663,655932,Derelict,"Site in settlement with population equal to or over 2,000",S01008368,-4.270813812163202,55.77570320651792
East Renfrewshire,8511637,WALTON,WALTON STREET BARRHEAD,250163,659195,Derelict,"Site in settlement with population equal to or over 2,000",S01008309,-4.392066063437996,55.802729673536376
East Renfrewshire,8511638,CHAPPELL,CHAPPELL STREET BARRHEAD,249521,658879,Derelict,"Site in settlement with population equal to or over 2,000",S01008298,-4.402123661691279,55.79969334297353
East Renfrewshire,8511651,FMR NURSERY,CHAPPELL STREET BARRHEAD,249520,658977,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008298,-4.402193794867688,55.8005727841458
East Renfrewshire,8511652,FMR NESTLE DEPOT,GLASGOW ROAD BARRHEAD,251210,659847,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008317,-4.375735086717762,55.808906483873805
East Renfrewshire,8511653,SHANKS WAY,SHANKS WAY BARRHEAD,250098,659948,Derelict,"Site in settlement with population equal to or over 2,000",S01008307,-4.393517040196945,55.80946927525702
East Renfrewshire,8511691,FRM WORKS,SHANKS WAY BARRHEAD,250170,659911,Derelict,"Site in settlement with population equal to or over 2,000",S01008307,-4.392348895034814,55.80915946662699
East Renfrewshire,8511692,FRM DEPOT,SHANKS WAY BARRHEAD,250099,659723,Derelict,"Site in settlement with population equal to or over 2,000",S01008307,-4.393377082168921,55.80744973521546
East Renfrewshire,8511695,FRM WORKS,SHANKS WAY BARRHEAD,250084,659828,Derelict,"Site in settlement with population equal to or over 2,000",S01008307,-4.393674064602942,55.80838767591231
East Renfrewshire,8511696,FRM GDN STORAGE,55 BARRHEAD ROAD NEWTON MEARNS,253487,655716,Derelict,"Site in settlement with population equal to or over 2,000",S01008336,-4.337213359440634,55.77251666612255
East Renfrewshire,8511699,YARD,16 ROBSLEE DRIVE GIFFNOCK,255642,659615,Derelict,"Site in settlement with population equal to or over 2,000",S01008409,-4.304958076788314,55.80816893201849
East Renfrewshire,8511700,FRM BDRS YARD,10 ROBSLEE DRIVE GIFFNOCK,255607,659547,Derelict,"Site in settlement with population equal to or over 2,000",S01008408,-4.3054799281902785,55.80754798576239
East Renfrewshire,8511703,BOWERWALLS BUSINES,2/4 BOWERWALLS PLACE BARRHEAD,250980,659643,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008317,-4.379289747263955,55.80700421351907
East Renfrewshire,8511705,BOWERWALLS BUSINES,10 BOWERWALLS PLACE BARRHEAD,251222,659736,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008317,-4.375483070145796,55.80791370850649
East Renfrewshire,8511712,BURNFIELD ROAD E,157 BURNFIELD ROAD GIFFNOCK,255964,659811,Derelict,"Site in settlement with population equal to or over 2,000",S01008409,-4.299928688142504,55.81002471419407
East Renfrewshire,8511713,BURNBANK,BURNBANK DRIVE BARRHEAD,250444,658348,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008327,-4.387121867896488,55.79521309956127
East Renfrewshire,8511714,FRM PARK DEPOT,ARTHURLIE STREET BARRHEAD,250524,658541,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008327,-4.385953034071317,55.796970451854385
East Renfrewshire,8511715,FRM PATTERTON FARM,STEWARTON ROAD NEWTON MEARNS,253436,657982,Derelict,Site in countryside,S01008328,-4.339244848248686,55.792844239821996
East Renfrewshire,8511716,FIRWOOD/OAKWOOD,FIRWOOD ROAD NEWTON MEARNS,254523,655880,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008351,-4.320800713226086,55.77430178907542
East Renfrewshire,8511717,FMR LOWER MILL IND,LOWER MILL ROAD BUSBY,257802,656921,Derelict,"Site in settlement with population equal to or over 2,000",S01008376,-4.2691159394457685,55.7846233005584
East Renfrewshire,8511718,NETHERPLACE WORK,NETHERPLACE ROAD NEWTON MEARNS,252179,655732,Derelict,Site in countryside,S01008328,-4.358053846782745,55.77226222932059
East Renfrewshire,8511719,ROBSLEE SE,ROBSLEE DRIVE GIFFNOCK,255669,659585,Derelict,"Site in settlement with population equal to or over 2,000",S01008408,-4.304511732663406,55.8079076719673
East Renfrewshire,8511720,BURNSIDE FARM,MEARNS ROAD NEWTON MEARNS,255825,656922,Derelict,"Site in settlement with population equal to or over 2,000",S01008345,-4.300614165121516,55.784046593718
City of Edinburgh,CN26,FOUNTAINBRIDGE,EDINBURGH,324345,672727,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008651,-3.212793961791773,55.94161197761865
City of Edinburgh,CN5,1-19 KEIR ST.,EDINBURGH,325335,673201,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008661,-3.19707959687157,55.946024810964424
City of Edinburgh,EC100,FORMER TELEPHONE HOUSE CAR PARK,357 GORGIE ROAD EDINBURGH,322506,672023,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008493,-3.2420257763767952,55.93499488046328
City of Edinburgh,EC101,GRANTON HARBOUR PLOT?,GRANTON EDINBURGH,323388,677418,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008920,-3.229446921923553,55.98359789560736
City of Edinburgh,EC102,FORMER POWDERHALL WASTE TRANSFER STATION,BROUGHTON ROAD EDINBURGH,325835,675550,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01008836,-3.1897229728046783,55.96720292954715
City of Edinburgh,EC103,FORMER BOOKERS CASH AND CARRY,INGLIS GREEN ROAD EDINBURGH,321804,670934,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008485,-3.2529439154924935,55.92509900626389
City of Edinburgh,EC104,CASTLEBRAE HIGH SCHOOL,GREENDYKES ROAD EDINBURGH,329169,671300,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008704,-3.13520553109356,55.92952921891621
City of Edinburgh,EC105,WOODS CENTRE,MORVENSIDE EDINBURGH,319421,669998,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008458,-3.2907887521921926,55.91629760717377
City of Edinburgh,EC106,COATFIELD LANE,LEITH EDINBURGH,327070,676190,Vacant Land,"Site in settlement with population equal to or over 2,000",S01008785,-3.170116138002452,55.973141333899854
